t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
1.1676,0.0737,0.0430,-0.0031,-0.1279,-0.0764,0.6264,0.0778,0.0315,-0.0038,-0.1625,-0.1247,0.4348
1.1821,-0.0293,-0.0189,0.0016,-0.0893,0.0207,-0.0089,-0.0089,0.0012,-0.0011,0.1785,0.7384,0.9813
1.1937,0.1292,0.0851,-0.0087,-0.3088,-0.9331,0.2940,0.0494,1.6107,1.5885,0.1567,-0.2489,-0.0830
1.2042,0.1834,0.0857,-0.0270,1.3697,1.6722,1.0115,-1.0614,1.7014,2.9482,-0.1773,0.0345,-0.0180
1.2141,0.1335,0.0913,-0.0095,-0.1339,-1.1442,0.2265,0.1657,1.3822,1.5509,-0.1206,0.0750,-0.0071
1.2246,0.1208,0.0559,-0.0193,0.8020,1.2429,0.7627,-0.4897,1.3710,2.1959,-0.1473,0.0115,-0.0160
1.2372,0.1441,0.1269,-0.0006,0.7370,-1.1866,0.9207,-1.0321,-1.3609,-0.5759,-0.0944,0.1396,0.0006
1.2477,0.1233,0.0580,-0.0196,0.8312,1.2592,0.7988,-0.5259,1.3159,2.1750,-0.1465,0.0144,-0.0161
1.3325,0.1445,0.1255,-0.0019,0.7110,-1.2492,0.8906,-1.0119,-1.3472,-0.5933,-0.0942,0.1382,-0.0007
1.3452,0.1263,0.0548,-0.0208,0.8627,1.2769,0.8381,-0.5648,1.2637,2.1524,-0.1471,0.0130,-0.0168
1.3604,0.1463,0.1245,-0.0033,0.6817,-1.3137,0.8575,-0.9908,-1.3307,-0.6092,-0.0932,0.1365,-0.0022
1.3730,0.2530,0.1375,-0.0237,0.1098,-0.0420,0.0104,-0.3442,1.9988,2.8545,-0.0945,0.0644,-0.0082
1.3864,0.1372,0.0847,-0.0127,-0.1821,-1.3137,0.1445,0.1861,1.3467,1.5279,-0.1191,0.0708,-0.0102
1.3977,0.0061,-0.0613,-0.0277,1.8017,2.4136,1.3352,-0.8045,1.9460,2.9349,-0.2471,-0.0258,-0.0320
1.4105,0.1395,0.0805,-0.0134,-0.1870,-1.3592,0.1305,0.1774,1.3087,1.4945,-0.1181,0.0672,-0.0109
1.4212,0.0599,-0.0328,-0.0298,1.9801,2.0496,1.3548,-1.2022,1.7027,2.9323,-0.2406,0.0037,-0.0303
1.4317,0.1451,0.0838,-0.0127,-0.0600,-1.4227,0.2246,-0.0199,0.8340,1.0972,-0.1112,0.0744,-0.0103
1.4426,-0.5716,-0.0113,0.0778,-0.1494,0.4846,0.0754,1.2464,0.7313,-0.0150,-0.7467,-2.8967,2.9267
1.5228,0.0567,0.0135,-0.0058,0.0473,0.6709,0.7783,0.0740,0.0116,-0.0052,-0.2901,-0.1120,0.6833
1.5364,0.0323,0.0167,-0.0047,0.1335,0.3694,0.5724,0.1117,0.0270,-0.0066,-0.3936,-0.1260,0.5531
1.5476,0.0368,0.0164,-0.0050,0.0562,0.5441,0.6753,0.0632,0.0134,-0.0044,-0.2470,-0.0960,0.5694
1.5587,0.1540,-0.0046,-0.0164,-0.1181,0.0302,-0.0230,0.0678,-0.0295,-0.0125,-0.3404,3.0385,2.8389
1.5697,0.1472,-0.0054,-0.0154,-0.1221,0.0368,-0.0222,0.0767,-0.0200,-0.0122,-0.3375,3.0078,2.8420
1.5864,0.5363,-2.4708,-0.4945,-0.0628,0.0591,-0.0083,0.1320,0.1338,-0.0035,-0.7511,2.8976,2.3573
1.5978,0.1559,-1.6614,-0.0919,-0.1457,0.0702,-0.0185,0.0059,0.0532,-0.0024,-0.0028,2.5247,2.1116
1.6101,0.3224,0.4094,0.7542,-0.1254,0.0522,-0.0073,-0.1756,-0.0390,0.7969,0.2400,0.1614,0.0567
1.6222,-0.4092,-0.4225,1.4169,-0.1776,0.1564,0.0055,0.1888,-0.2570,-0.1612,0.7529,-2.1028,-1.0913
1.6381,0.3021,-1.2977,0.1229,-0.1299,0.0882,-0.0094,0.1208,0.0718,-0.0071,-0.3242,1.6340,1.6766
